ligand_id,smiles,no_2og_binary,no_2og_pred_value,no_2og_ligand_iptm
P4H6__Molport-027-888-427,CCOC(C)C(=O)N1CCC2(CC1)CCC(=O)N(Cc1cccnc1)C2,0.804824412,-0.064390659,0.969985604
P4H6__Molport-047-945-911,COc1ccc(C[C@@]2(O)COc3cc(O)cc(O)c3C2=O)cc1,0.804813504,-0.470504522,0.973150194
P4H6__Molport-051-749-830,CN1CCN(CC1)C(=O)[C@@H]1C[C@H]2CCN(C[C@@H]12)C(=O)c1c(C)[nH]c(C(C)=O)c1C,0.804790497,-0.129149675,0.952396214
P4H6__Molport-047-515-002,CN1CCC(CC1)Oc1ccc(NC(=O)[C@@H]2C[C@H](CN2)n2cc(nn2)C(O)=O)cc1,0.802520156,0.327750444,0.961222351
P4H6__Molport-008-362-193,COCc1nc(CNC(=O)CC23CC4CC(CC(C4)C2)C3)no1,0.801524282,0.267016649,0.969424129
P4H6__Molport-035-881-848,COC(=O)C1Oc2cc(C)oc(=O)c2C1c1ccc(OC)c(O)c1,0.801231325,0.019313812,0.969618559
P4H6__Molport-028-588-135,CN(C)CCCn1ccnc1C1CCN(CC1)C(=O)c1ncoc1C,0.801205158,0.107553244,0.938522756
P4H6__Molport-009-497-251,CS(=O)(=O)c1ccc2nc(NC(=O)C3=COCCO3)sc2c1,0.800574183,-0.421534061,0.983219624
P4H6__Molport-027-870-190,Cc1noc(C)c1CN1CC2(CC1=O)CCN(CC2)C(=O)c1ccc[nH]1,0.799832642,-0.215805292,0.969483018
P4H6__Molport-023-266-039,CCCCN1CCN(C(C(=O)NCC2CCN(C)CC2)c2ccccc2)C(=O)C1=O,0.798407435,-0.464292526,0.961121798
P4H6__Molport-019-565-760,OC(=O)CCC(=O)Nc1ccc(cc1)C(=O)OCC(=O)Nc1ccc2OCCOc2c1,0.79817766,-0.322842836,0.966403067
P4H6__Molport-000-091-593,COC(=O)C1(C)NC(C2C1C(=O)N(C2=O)c1ccccc1)c1ccc(OC)cc1,0.796305776,-0.125830412,0.906526804
P4H6__Molport-003-128-279,Cc1ccccc1-n1ncc2c1ncn(CC(=O)Nc1ccc3OCCOc3c1)c2=O,0.795983195,-1.020630598,0.951621413
P4H6__Molport-027-718-100,Cn1c(CN2C[C@H]3C[C@@H](C2)c2cccc(=O)n2C3)cc(=O)c(O)c1CN1CCCCCC1,0.794685841,-0.092447758,0.963130951
P4H6__Molport-035-381-251,COc1cc2OCCOc2cc1CN1CCN(CC1)C(=O)c1ccc[nH]1,0.794354022,-0.490144014,0.93577826
P4H6__Molport-028-580-579,COc1cccc2CC(CNC(=O)c3ncoc3C)COc12,0.794118285,-0.337247372,0.963916063
P4H6__Molport-000-665-755,CS(=O)(=O)c1ccc2nc(NC(=O)C3COc4ccccc4O3)sc2c1,0.794059634,-0.240785122,0.984403729
P4H6__Molport-047-033-827,CN1CCN(CC1)C(=O)C[C@H]1CN(CC[C@@H]1Oc1ccccc1)C(=O)c1ncoc1C,0.794035196,-0.641021013,0.950939953
P4H6__Molport-039-043-536,Cc1nc(NC(=O)CN2CCOC3(CCCC3)C2)sc1C(O)=O,0.793888807,0.036306381,0.977776468
P4H6__Molport-047-934-466,Cc1cc(C)n(n1)-c1cc(ncn1)N1CC2CN(CC2C1)C(=O)NC(C)(C)C,0.793732762,-0.378527403,0.945120156
P4H6__Molport-016-590-266,Cc1ccc(nn1)N1CCN(CC1)C(=O)Nc1ccc2OCCOc2c1,0.793402255,-0.632455826,0.964273632
P4H6__Molport-047-293-320,COCC1C(=O)N(CC2CC2)CC11CCN(CC1)C(=O)c1ccccn1,0.792678654,0.423090935,0.943785071
P4H6__Molport-047-290-649,COCCN1C(=O)CCC11CCCN(CC1)C(=O)c1ccc[nH]1,0.792400897,0.805025578,0.953612804
